"","Mthin","Nthin","wthin"
"1",691.010870837789,2367,58.1584326144441
"2",681.024109403118,2387,351.008498486316
"3",678.263448367327,2307,920.967577683472
"4",677.943503055635,2431,1510.93912396416
"5",683.770896198239,2408,284.493099381331
"6",691.320958042533,2403,135.417220276098
"7",677.971521705107,2407,408.254226826108
"8",680.820612198784,2414,390.563611303708
"9",699.322784346018,2430,65.1940359417458
"10",691.435065004179,2342,62.7635710530036
"11",678.320949062498,2407,421.121005317695
"12",678.532388937557,2404,612.420399739207
"13",682.728409563181,2438,166.372561455527
"14",679.218554807683,2384,1266.78770111603
"15",683.530167025529,2393,134.011762765128
"16",678.417769374363,2356,1776.92804325907
"17",677.456577040145,2434,789.224444435507
"18",686.374140425878,2466,263.817612573876
"19",691.501976461102,2474,63.0851203020298
"20",695.576928687677,2456,74.5450688426289
"21",683.028285723363,2400,187.227925221648
"22",677.975606320174,2382,2220.71081868993
"23",677.975606320174,2446,590.407623562476
"24",683.860125547929,2497,150.421650335158
"25",680.621832171744,2423,389.237797185123
"26",682.800433228448,2346,518.429208832341
"27",685.535513530397,2303,142.81291424505
"28",677.502575570008,2430,920.412512494698
"29",683.748340735272,2460,144.080420634672
"30",690.181758010948,2411,75.4170484716255
"31",683.932522574298,2399,173.39356309454
"32",683.616134084297,2482,155.365275668112
"33",678.983030092254,2377,600.792136592965
"34",679.438817050359,2332,332.59079308724
"35",677.468420291385,2366,346.005758751985
"36",677.354763027412,2389,676.931243369531
"37",679.088147802636,2390,413.474463897833
"38",694.01064001202,2477,152.381107511496
"39",678.184826872509,2289,478.53452215679
"40",677.410770381578,2326,1911.79516881269
"41",677.704384601429,2490,467.982313771233
"42",678.46963159787,2472,1142.50673335408
"43",681.781027797896,2426,462.183806527765
"44",680.151978601957,2490,1574.20214057653
"45",690.951737762876,2327,84.9570283538064
"46",682.621879904389,2365,319.407117241988
"47",683.32064174258,2368,183.355945526617
"48",686.459749796002,2410,131.510213323319
"49",677.483874411819,2466,907.83368056683
"50",677.107363945034,2450,7050.8232229608
"51",686.676818657666,2365,120.750465701058
"52",677.270111685779,2462,5202.66417732737
"53",682.741940572687,2384,307.279372787734
"54",681.841096518484,2357,252.110049418982
"55",678.530049732975,2453,1180.09907221771
"56",686.844956425016,2323,167.811088350353
"57",698.207918322939,2390,49.3343419908256
"58",684.210583580637,2447,248.105098511274
"59",690.018289484271,2472,141.902822094405
"60",682.971760954993,2384,118.764977906973
"61",687.753067690985,2361,107.343397606205
"62",691.946257561551,2369,120.217097375837
"63",681.624904128974,2427,153.920735415041
"64",686.58199148345,2440,100.981099944655
"65",678.881123757562,2466,1194.19031239534
"66",681.212211899862,2440,1087.41969886716
"67",690.837147025864,2442,92.3975251427494
"68",687.069600786314,2455,156.801555591947
"69",683.679999933128,2375,150.020217640585
"70",679.20338725944,2472,184.939113540933
"71",677.234853455944,2367,4228.45686961976
"72",677.19206412571,2446,5871.53384726741
"73",677.456779985777,2379,741.00278765887
"74",683.960675690535,2501,243.142480809966
"75",680.238857386376,2391,300.747362280264
"76",678.300397866168,2378,556.520065984675
"77",678.311832074411,2480,936.513118823721
"78",677.38793460068,2379,3207.50165058339
"79",677.908105599819,2404,3042.21797210266
"80",679.302264569943,2322,234.188390885545
"81",677.386852569515,2392,891.391861560228
"82",684.549792276666,2439,159.34336787633
"83",691.580656670351,2360,82.8420164205332
"84",679.819841495112,2420,490.001805262298
"85",689.575813023116,2329,75.0459400364912
"86",680.341422938374,2354,514.640826987208
"87",686.747944726468,2402,83.2123053530408
"88",678.647057310835,2390,684.216764301359
"89",677.235277472774,2394,1940.07036667887
"90",686.235614637037,2412,91.8298666939119
"91",679.722415642114,2393,604.656242417629
"92",677.367064873964,2385,8644.77308914028
"93",685.098839240119,2433,219.04157360883
"94",691.978825832786,2420,67.8251903685569
"95",681.675755695829,2346,337.75530271238
"96",683.867278380746,2383,246.752425432263
"97",689.176650099014,2452,65.5417481686572
"98",677.304552891602,2350,801.595550430135
"99",677.893264043348,2452,5570.29064882596
"100",677.203495245233,2543,11898.3914741808
"101",677.590343178199,2356,1170.83311175665
"102",677.386466134576,2469,4850.78541164629
"103",677.180933277284,2437,1350.01010925322
"104",680.974897679057,2399,346.670191395785
"105",683.721871341815,2396,186.753734292588
"106",677.089860998485,2365,1110.2347188945
"107",681.120486890999,2469,237.450180378274
"108",679.701674395517,2413,475.534570308667
"109",677.542768640154,2414,3452.45988828941
"110",678.955678086468,2421,1625.76036730522
"111",677.687155777742,2350,2651.29347924681
"112",677.687155777742,2424,590.921226248679
"113",682.355057175197,2408,105.888385508074
"114",688.570843928819,2356,105.480072376609
"115",678.232245824762,2377,694.257114339207
"116",677.801619420284,2442,6138.09388476412
"117",679.435935204886,2405,306.615344154339
"118",681.234129943765,2387,247.40703139455
"119",686.862101175502,2416,101.263793809024
"120",678.180528682519,2292,879.950585315531
"121",681.947322813184,2362,202.81706755624
"122",680.008653173204,2445,377.973643128843
"123",688.529083575986,2388,77.3816155737936
"124",686.078633630273,2495,137.862460822911
"125",692.672971773785,2352,88.1507582414057
"126",677.905375161117,2458,4748.56461192319
"127",678.070569316034,2425,314.732947775017
"128",684.50796735582,2354,171.191631246684
"129",677.542184090343,2368,429.990464377673
"130",678.599744807568,2421,364.000177547797
"131",691.026981805539,2380,114.846565680209
"132",691.285601436406,2408,65.7938120943997
"133",691.768903400627,2446,90.6071374375457
"134",678.287684063819,2458,648.987701539767
"135",685.467769814577,2425,140.454268665343
"136",677.209567604411,2407,242.324954953275
"137",678.855139049227,2353,401.21982146511
"138",699.344185234374,2498,90.4979256168371
"139",678.178507100234,2562,466.809838560349
"140",677.530680790238,2334,435.747145479434
"141",677.796272978006,2368,1298.64407218754
"142",681.702812193594,2399,266.046226786665
"143",681.678169261307,2467,319.99801307285
"144",678.285986413565,2379,681.151851475634
"145",677.396897476388,2359,2796.04796276126
"146",685.133704104454,2430,156.968826116499
"147",677.646858937213,2465,1302.99857064308
"148",677.225267172887,2331,2605.45981020327
"149",677.225267172887,2409,4434.0061365169
"150",682.987149084717,2369,290.795065616701
"151",682.317735279351,2422,197.049199985592
"152",684.723131058108,2475,164.461283572613
"153",682.493266083378,2417,334.316332771745
"154",693.071171959056,2403,83.2208327374948
"155",684.944014062621,2507,80.447207722221
"156",684.236992507517,2465,137.725819887703
"157",680.926556627931,2448,539.548692741693
"158",681.798977922246,2397,165.554766416376
"159",683.566592211622,2359,152.061910187969
"160",683.086126040335,2427,203.481854696655
"161",677.785264959154,2408,2104.45000325788
"162",677.807390622969,2408,21323.5924764298
"163",677.807390622969,2330,1318.76973668153
"164",685.324469304359,2400,130.341548653091
"165",685.922439017277,2460,143.265221975374
"166",677.664341986402,2344,285.279155461382
"167",685.827935294948,2403,133.491748727567
"168",678.071890754881,2400,418.010704641579
"169",689.720586871563,2439,75.7922675207831
"170",692.091322445774,2376,69.8977915690355
"171",682.6753958116,2404,303.750827858019
"172",678.126529231526,2416,398.337387719744
"173",678.908386152874,2276,985.734928615672
"174",685.911245777124,2412,172.627651159835
"175",680.464523907474,2354,278.095934220764
"176",681.341313127161,2401,227.419105316444
"177",677.009587891346,2389,767.702717200195
"178",677.400981920671,2440,313.152772833444
"179",682.345235710899,2414,129.763437323758
"180",682.674409202528,2378,580.548501016794
"181",682.755821185894,2409,187.768036749219
"182",678.996978138534,2369,1511.06455324712
"183",678.033782506316,2382,1645.37598366801
"184",677.195123267471,2397,9527.62820285269
"185",677.195123267471,2441,1140.44969928645
"186",677.139821739371,2375,512.428666242491
"187",677.699567714976,2395,2589.64948684669
"188",677.981882617455,2323,2896.08377112059
"189",677.365726347067,2353,3716.21776101169
"190",677.227074781728,2245,1248.79906300705
"191",677.194114988143,2447,79020.5681629929
"192",677.330827167149,2423,28861.1769326017
"193",680.957030952265,2381,177.01915723305
"194",682.217885818366,2443,186.018236543023
"195",678.371772911776,2381,546.120698085946
"196",688.617892949733,2436,102.780353235492
"197",685.145786589016,2424,172.114134290125
"198",688.547382483902,2376,107.685212389905
"199",685.507679164586,2364,170.976399526752
"200",691.552388652085,2385,77.7835441000721
"201",680.912866243194,2494,239.322158806872
"202",684.500902215429,2454,149.733479094332
"203",683.688816447378,2366,222.261125975805
"204",680.897963854148,2443,503.190119799425
