"","Mthin","wthin"
"1",589,5.02927862197616
"2",573,6.02129830234612
"3",530,8.61970786984647
"4",559,5.81761644216609
"5",561,4.89644046301406
"6",567,5.1792349217887
"7",584,4.63599618909788
"8",548,6.3614096669021
"9",551,7.40123447007734
"10",570,4.73815510541106
"11",553,6.25622450775292
"12",519,8.2022970312526
"13",558,5.89200344857015
"14",567,4.95699104639952
"15",557,5.45163525015223
"16",570,5.14077417515074
"17",552,6.07155725477011
"18",568,6.34320324701161
"19",535,7.74130993887085
"20",554,5.92288640585336
"21",599,4.62997211730783
"22",560,6.02291337306556
"23",552,5.96285515762879
"24",565,5.05404403615487
"25",570,3.83634814925544
"26",569,5.60416733968362
"27",587,4.12140177684876
"28",548,5.83710264608037
"29",623,3.48448693638877
"30",610,3.52119390418829
"31",607,3.12717255167588
"32",557,5.98942999554402
"33",573,4.88837495457945
"34",553,6.99528741310087
"35",545,6.84014695363173
"36",542,5.86010190351718
"37",572,5.54431448168488
"38",534,8.09557706496182
"39",530,9.42867779146962
"40",558,5.8691134213617
"41",554,6.54110728903138
"42",569,5.03567261684284
"43",540,8.26109889715147
"44",554,7.05781091412199
"45",597,5.1473042291123
"46",563,5.57367377678161
"47",556,6.55667827242284
"48",569,4.16759366422232
"49",554,5.85004200774361
"50",640,3.09236206285161
"51",595,4.06046709517115
"52",589,3.36733869515257
"53",557,6.52138061679123
"54",539,6.21909826278123
"55",548,8.04334118598302
"56",568,5.75649277018914
"57",570,5.57249281086967
"58",549,5.10906272749979
"59",563,4.9699932581533
"60",552,7.99035725590143
"61",556,6.45045905226665
"62",601,4.38960612183454
"63",551,7.44460571063879
"64",572,4.854797551613
"65",544,6.96714267456671
"66",568,5.37691070072976
"67",562,6.69873719642869
"68",542,7.18582062299379
"69",543,6.27877879197528
"70",557,6.26648538902792
"71",553,6.11673590205988
"72",546,6.78433655968392
"73",551,6.02692239389929
"74",549,7.62795457975675
"75",549,6.34803052656599
"76",522,11.3199802860333
"77",566,5.66907952472777
"78",563,8.38165837066049
"79",596,4.42201270091618
"80",599,4.21383156433268
"81",593,3.83054766483317
"82",551,6.41755376881163
"83",538,7.45406089176675
"84",581,5.73308842735322
"85",528,7.84760104529424
"86",520,8.89506049352618
"87",536,7.42461176766937
"88",578,4.62879166377147
"89",597,3.87409273408618
"90",569,4.53493142666146
"91",552,6.15887187870877
"92",559,5.86812780153031
"93",601,3.89132454887257
"94",536,7.29684126215332
"95",539,7.12793184722533
"96",531,7.71730350490739
"97",563,5.83616921743183
"98",554,6.92988055093506
"99",551,7.27518669127774
"100",545,6.85994622499913
"101",558,6.6860574907958
"102",564,5.53472595501388
"103",552,5.89713876379835
"104",548,6.88823788507393
"105",517,9.13560421077102
"106",553,6.264438464118
"107",546,5.57338843664283
"108",582,4.98363565853689
"109",575,5.19387341138173
"110",579,3.81479173624463
"111",557,5.61988713949707
"112",557,6.87817629868776
"113",584,5.15463868631177
"114",534,6.36370865566125
"115",544,7.78778912843138
"116",583,4.55540979354455
"117",540,6.50064516806291
"118",580,6.46536284133683
"119",535,6.46230420384092
"120",576,4.18070281377443
"121",571,5.83530111267
"122",550,6.51991099745145
"123",553,8.76188733367227
"124",555,6.21753260390174
"125",574,4.42717537975382
"126",574,6.32678951892042
"127",528,9.09258535471917
"128",562,5.63636083322491
"129",603,4.64089608358028
"130",552,7.81276452278046
"131",596,5.38776228261099
"132",588,4.86171628194934
"133",554,7.84444367012315
"134",557,5.69317526810796
"135",569,5.0415335193873
"136",605,3.813067559097
"137",553,5.42048302954084
"138",549,5.15843420575603
"139",564,6.76324894910029
"140",562,5.61381187111798
"141",623,3.2602218639188
"142",594,4.67084239540896
"143",543,6.40960535750702
"144",534,8.47788890460354
"145",564,5.33081456516559
"146",572,5.10681538235817
"147",555,7.84619227033402
"148",576,4.46587183837434
"149",558,6.3909885350481
"150",562,5.35443697820816
"151",589,4.47849836640022
"152",555,7.44143949733091
"153",582,4.95447040914106
"154",581,6.54205580087269
"155",566,6.21280336741357
"156",530,6.98464073082382
"157",541,7.41573016321029
"158",543,7.27827667052088
"159",578,5.16389365009345
"160",576,4.24800499900399
"161",541,7.22164188971155
"162",528,9.3194042904216
"163",571,5.45753199549285
"164",586,4.63461508630758
"165",566,4.19745317306964
"166",555,6.33879687996323
"167",548,7.63468028425725
"168",546,7.73614799729068
"169",526,8.63349221541106
"170",566,4.70390874718877
"171",597,3.89573546751487
"172",599,4.56972625248808
"173",608,3.84054123338844
"174",536,7.09285732495506
"175",560,6.68813954850164
"176",531,7.7008588629095
"177",569,4.45917935052763
"178",545,6.06101955380533
"179",578,4.51634292464539
"180",564,4.83919567870396
"181",547,7.24984053993822
"182",526,9.45203217550763
"183",575,4.97792543239854
"184",547,6.41019513209672
"185",572,5.72004847865294
"186",577,5.30321559574937
"187",609,3.99496186522024
"188",548,6.45594818177531
"189",552,5.45703754356791
"190",554,4.83576791247551
"191",561,6.18847825340853
"192",586,4.64549440988026
"193",588,4.6568759525989
"194",560,6.29027145952731
"195",589,4.86434184565661
"196",550,6.47415460968008
"197",585,4.96317411354927
"198",566,6.21979252017014
"199",546,5.98546593506748
"200",549,7.2629086099956
"201",551,5.52068412138569
"202",598,3.10321673673367
"203",564,5.00840764416862
"204",595,4.08244307356152
"205",568,5.89636543409152
"206",553,7.3412127607742
"207",585,4.37503178090973
"208",551,5.27047866500591
"209",566,6.08716372744257
"210",577,5.23794543363855
