"","Mthin","Nthin","wthin"
"1",2733.65335797327,8310,30.650082813587
"2",2704.2708961503,8206,30.7668862379733
"3",2726.8101289356,8231,26.0751836905559
"4",2720.57959227624,8212,25.8336594756497
"5",2728.06174857697,8254,28.5953051067989
"6",2722.02238775018,8206,31.8912152153551
"7",2737.31680181801,8209,21.9294118243958
"8",2721.94746922002,8354,29.8003186760605
"9",2724.88742125243,8326,28.6451517244888
"10",2733.07984436089,8177,24.6539351717661
"11",2735.34545178877,8386,24.423676026026
"12",2740.19601439961,8179,22.1409679839341
"13",2756.58785252294,8195,23.4814551409996
"14",2732.91366911954,8144,28.381865804068
"15",2719.40613503462,8218,23.9796356210352
"16",2742.93353450079,8371,25.0225952371662
"17",2734.33096637664,8319,22.7622747729306
"18",2747.58313636571,8302,22.3856185562478
"19",2729.83850627147,8287,30.5696045799092
"20",2738.54269020069,8327,24.2543641925918
"21",2728.97324085354,8094,22.913102229057
"22",2737.76138276923,8149,22.2566765322245
"23",2745.32453294118,8022,20.1003561710164
"24",2764.72529414907,8317,21.7897244809138
"25",2756.38019863534,8201,22.4048704281913
"26",2744.68747307736,8266,23.1676900705077
"27",2737.58714395541,8134,19.8657898714211
"28",2742.25133238856,8245,23.409384620332
"29",2706.72649654546,8091,30.4736311125893
"30",2712.64009525822,8273,29.4857304771095
"31",2707.01177957903,8276,29.361112071478
"32",2740.34531052962,8372,26.6072461395751
"33",2740.68283958462,8136,22.7728765274641
"34",2754.23244887216,8289,22.8671851842814
"35",2754.12755123505,8151,19.7037645617487
"36",2737.59632921987,8009,26.5675769346294
"37",2754.88915114252,8292,22.5495417293291
"38",2724.65767269829,8206,28.1876345779293
"39",2704.90053748433,8283,32.5380803590431
"40",2718.17471976587,8184,28.9552084209627
"41",2688.01627134362,8067,37.7023414789392
"42",2745.73059937269,8173,22.2913685447371
"43",2754.6701578107,8186,19.3598324875508
"44",2739.55544652557,8230,23.0600426200615
"45",2732.15412030133,8174,25.2672963069776
"46",2733.15780687226,8285,26.9827004801307
"47",2736.4768781432,8270,26.6698693779527
"48",2759.9012126155,8263,23.2958507998843
"49",2726.65040119591,8282,24.8934418520932
"50",2724.3194742134,8260,28.5538103591205
"51",2728.62003835858,8295,25.6036003198718
"52",2727.3427688501,8191,27.175202768568
"53",2724.57035086157,8326,33.3198569130667
"54",2749.9936681987,8294,25.6653836515099
"55",2725.83479158461,8144,22.7745083032095
"56",2717.41667336334,8161,28.5358812047745
"57",2758.28815761507,8102,18.4704248644947
"58",2798.58773400009,8235,16.5093530779025
"59",2798.58773400009,8239,19.052448146384
"60",2727.63486671364,8357,30.7712073435999
"61",2710.84972155383,8130,30.1009921636311
"62",2745.7824829782,8267,23.8911710385793
"63",2735.0548343498,8273,26.5809835007564
"64",2710.95062968002,8184,31.858537905225
"65",2728.83825978366,8246,28.0032807001765
"66",2722.45404631475,8205,28.8162088296121
"67",2746.47630864932,8232,23.4277470589621
"68",2760.07166930149,8330,20.659364557653
"69",2736.17431527236,8208,25.7902428048895
"70",2758.7127806163,8237,22.4682986227538
"71",2742.2189258468,8086,22.8632995299479
"72",2756.46813297007,8238,19.3305831472382
"73",2742.4542808306,8225,21.3637813288595
"74",2753.20438803546,8077,22.6482511928401
"75",2752.9812633645,8224,20.4342833662881
"76",2735.67215434272,8153,24.0162404581948
"77",2719.5859069585,8138,25.3208935747047
"78",2737.41096776293,8328,25.8743419652138
"79",2770.71646772178,8099,17.1381406176909
"80",2752.97946686043,8066,21.816771963408
"81",2721.89552453113,8189,25.8523637974913
"82",2732.24887071045,8293,25.9397547727196
"83",2729.85136919429,8359,23.4660558956875
"84",2710.18616705627,8116,29.7487239518056
"85",2745.94548168517,8298,24.4232553401333
"86",2713.72271813814,8311,25.5027123920485
"87",2735.91333522761,8272,28.8178168996629
"88",2756.29829184736,8295,21.556270154066
"89",2748.70841745637,8045,23.1094221206058
"90",2741.06260591425,8138,22.3230650977518
"91",2717.10625152947,8216,33.6864621597136
"92",2764.50318666571,8112,20.7282732036811
"93",2743.44316017829,8180,22.2214644786614
"94",2743.40842653244,8269,25.3129943223973
"95",2718.41892748177,8201,25.0092711937096
"96",2731.87660217497,8136,29.4966812480931
"97",2730.92600988643,8259,28.3616375681424
"98",2748.75773662425,8202,23.4337866264802
"99",2738.27433583557,8270,25.1582264531072
"100",2721.21151581461,8249,26.2757632537251
"101",2736.761588633,8125,24.6988899135288
"102",2721.38980451102,8263,29.790661206898
"103",2743.51970894757,8230,22.9863002675246
"104",2732.09459966503,8253,23.7952036860323
"105",2734.06635099941,8233,24.5171066149127
"106",2729.65567943557,8223,26.1248799051377
"107",2729.04724958907,8161,25.7441397040748
"108",2734.62961916591,8084,21.655254514539
"109",2734.05645467474,8290,27.0161587477215
"110",2743.64223037478,8284,22.1755578963731
