"","Mthin","wthin"
"1",1880,0.412975295386027
"2",1948,0.355640033032332
"3",1954,0.329282101369933
"4",1930,0.38822176908196
"5",1997,0.330179010245992
"6",1968,0.316692085824209
"7",2021,0.294040126503159
"8",1962,0.32221725609194
"9",1936,0.347000387680865
"10",2057,0.267398765876051
"11",1992,0.280380577245802
"12",2079,0.244524184845602
"13",1939,0.357159825670896
"14",2049,0.26479477559099
"15",1969,0.313068302533095
"16",2044,0.300450575599293
"17",2084,0.246596513310969
"18",2014,0.262555256901766
"19",2081,0.253981337786909
"20",2076,0.242738965266137
"21",2061,0.248455025615405
"22",1969,0.339687894837983
"23",1951,0.33542758723879
"24",1888,0.424480089461
"25",1904,0.427986461275744
"26",2026,0.283881181739393
"27",1947,0.350341935289877
"28",1924,0.332107292354251
"29",2001,0.337767190396754
"30",1913,0.377350752030587
"31",1961,0.344038989585915
"32",2008,0.321122291802718
"33",1939,0.374246318776737
"34",1931,0.415586299103324
"35",1904,0.431998313819619
"36",1871,0.429884332861799
"37",1955,0.369326258043125
"38",1986,0.362791426307122
"39",2002,0.33483117709114
"40",1967,0.360683887547511
"41",1950,0.363493371749848
"42",2022,0.310366757859962
"43",1947,0.329572293023081
"44",1932,0.389223042419702
"45",1917,0.408988679464559
"46",1956,0.401383123228579
"47",1991,0.331967072908983
"48",1995,0.338743528023563
"49",1979,0.332428901844925
"50",2034,0.269834146230413
"51",2061,0.225383845153833
"52",1906,0.415337111781928
"53",1801,0.551836283829336
"54",1728,0.663555927684825
"55",1767,0.53285841346516
"56",1844,0.512858272063017
"57",1862,0.473247962300326
"58",1963,0.330903612258105
"59",2048,0.277698842215883
"60",2043,0.26610666545582
"61",2009,0.316572518368351
"62",2009,0.297332886357906
"63",1976,0.349097323612352
"64",1980,0.299113372093243
"65",2036,0.301947077537834
"66",2025,0.296792489810289
"67",1960,0.321514109641093
"68",1980,0.349128921935465
"69",1811,0.458738487177562
"70",1774,0.559883663167877
"71",1863,0.446522242671924
"72",1754,0.523105729358355
"73",1801,0.518058119350194
"74",1882,0.447806620076063
"75",1955,0.39090098102949
"76",1822,0.513371468919355
"77",1892,0.437562379248648
"78",1905,0.420115378455916
"79",1834,0.456118594209979
"80",1881,0.430537755523956
"81",1885,0.482959393118632
"82",1953,0.361990198602045
"83",2048,0.249672566570172
"84",1932,0.406862694396931
"85",1927,0.35372606796906
"86",1890,0.463259258277787
"87",1923,0.368814879772238
"88",2006,0.325086101565742
"89",1937,0.384751932919729
"90",2039,0.273034223861256
"91",2110,0.202996022304837
"92",2100,0.277807403294713
"93",2062,0.264405394228498
