"","Mthin","Nthin","wthin"
"1",3479.03798995657,7384,668.77465929411
"2",3482.16147033629,7500,450.598003053687
"3",3481.41956544104,7369,285.816670594414
"4",3481.41956544104,7257,417.866364567453
"5",3479.10628600803,7307,784.960506855673
"6",3475.4599083452,7292,511.733643237046
"7",3475.67047075901,7376,817.209918909153
"8",3483.99978547168,7426,443.866264822638
"9",3480.35418806119,7247,414.842909633038
"10",3477.66575860519,7327,430.88947494915
"11",3479.18555364737,7455,587.11218023351
"12",3483.07714585508,7276,400.761460999503
"13",3477.35827242168,7336,500.013096566432
"14",3478.2928431502,7260,523.782635704667
"15",3480.54221671357,7277,585.529185663272
"16",3479.5513995942,7268,819.968139538662
"17",3480.5488011503,7248,383.014704520493
"18",3477.47683132409,7269,454.195943326987
"19",3480.51825786319,7382,614.364671694853
"20",3478.1457162493,7211,540.834603448027
"21",3482.20029691942,7377,557.110363683648
"22",3481.44433063858,7410,539.912982463017
"23",3485.04286673791,7301,438.12914178491
"24",3485.04286673791,7435,410.260300296492
"25",3485.04286673791,7417,344.081726004191
"26",3480.22203470388,7270,413.699497758034
"27",3481.02572938899,7410,468.808164087454
"28",3480.42290996517,7365,730.706871217256
"29",3487.54858772561,7360,341.223605514745
"30",3487.54858772561,7253,252.575511679042
"31",3476.88638678038,7286,549.577355754854
"32",3478.02561594295,7314,550.900869306318
"33",3476.09043120224,7248,987.237208779674
"34",3478.71205827991,7334,753.07993238663
"35",3478.03696358697,7297,779.267902193386
"36",3478.1322843867,7106,637.139635305833
"37",3477.16032707685,7481,911.917682351233
"38",3481.41423786216,7312,516.744696614738
"39",3481.41423786216,7361,407.044350688047
"40",3481.27405503578,7396,606.267414905629
"41",3479.86014031358,7151,717.909507586293
"42",3480.85470725094,7331,362.600481902837
"43",3478.72036475452,7344,636.854262544859
"44",3476.53173641969,7408,411.464003033125
"45",3483.63847777245,7244,266.503462048253
"46",3483.63847777245,7442,491.435891951761
"47",3481.11747556797,7496,840.926641842345
"48",3479.8076411555,7340,422.145961297004
"49",3480.04260465582,7422,396.349985202635
"50",3476.19987961341,7267,709.576229423511
"51",3478.68999423568,7538,647.542878990135
"52",3484.35716318179,7369,278.744938100831
"53",3484.35716318179,7411,334.994873684285
"54",3478.01145964501,7291,453.516903751048
"55",3480.49398769338,7273,516.594744139543
"56",3480.88655282284,7384,382.020686736303
"57",3486.32897584206,7263,261.230936467428
"58",3486.32897584206,7276,360.566726001401
"59",3486.32897584206,7399,206.841980884235
"60",3475.42010922896,7347,734.820088757255
"61",3481.90075387939,7181,314.440659239015
"62",3481.58812448452,7356,399.373970390461
"63",3480.05672491565,7436,378.770310315
"64",3481.25243413673,7296,547.474483063871
"65",3479.16666055116,7388,675.786050512584
"66",3480.052133065,7319,525.361211602982
"67",3485.86811618831,7259,575.736066057404
"68",3477.29180999238,7317,647.6297797158
"69",3476.75036514709,7522,801.43597018107
"70",3479.20771418327,7339,1187.6094972876
"71",3480.42857067382,7165,266.337143161676
"72",3478.12060184958,7343,635.824274128364
"73",3481.07926041425,7330,291.29595023452
"74",3480.81569097008,7424,312.683902936014
"75",3480.04196994701,7334,653.439483221604
"76",3482.14025067225,7446,432.928099744888
"77",3478.64126012426,7289,462.432238039348
"78",3477.33338507272,7526,1080.49085430378
"79",3481.76253235814,7473,374.296062300276
"80",3480.0762032994,7412,448.142356930058
"81",3478.72113936036,7282,641.216824426912
"82",3478.65556606502,7341,467.695320630316
"83",3478.5122590177,7416,498.959070176546
"84",3481.52133476212,7189,551.721071211642
"85",3477.30217508642,7202,401.710691224765
"86",3479.96697629091,7321,592.930197624865
"87",3481.04572247837,7575,377.816789463972
"88",3479.80480485099,7464,696.284362280003
"89",3480.30167001744,7330,727.497156453391
"90",3483.95048281939,7307,370.144613998431
"91",3480.47682202162,7284,731.676440038777
"92",3479.22797711094,7391,346.093620202596
"93",3481.93063631097,7316,369.731060120607
"94",3476.97113604739,7420,624.406974469181
"95",3476.51843953536,7236,651.483192252927
"96",3481.15269140017,7247,550.607049079142
"97",3482.08412237448,7434,338.782503351755
"98",3478.49905092002,7233,556.375463338856
"99",3480.20592448137,7230,595.734732644591
"100",3480.80850040798,7344,418.926819246724
"101",3478.08361417884,7353,545.294334001966
"102",3481.66820386369,7441,517.792118709269
"103",3484.06253222795,7290,515.102737172267
"104",3475.85400591593,7385,305.746264432731
"105",3477.15708920397,7320,921.968739933836
"106",3477.25650931562,7351,601.839140892942
"107",3473.57957222132,7440,489.016898518292
"108",3478.2451371177,7239,738.112143094885
"109",3479.50001514077,7460,592.909247096419
"110",3478.63533311845,7269,443.706595432915
"111",3477.44982611292,7161,699.80814590533
"112",3478.46129065176,7578,708.469832003802
"113",3478.2436462549,7117,819.732474040481
"114",3479.44473413664,7284,462.643458366557
"115",3482.25298643667,7439,355.584676071955
"116",3486.84143206879,7245,318.169385481933
"117",3486.84143206879,7434,284.080075094528
"118",3486.84143206879,7192,234.70482532347
"119",3486.84143206879,7368,332.644150908974
