"","Mthin","wthin"
"1",1958,0.390577000271431
"2",1984,0.306855983485573
"3",1873,0.496831003700296
"4",1929,0.446735022527259
"5",1853,0.624177115328198
"6",1990,0.328398898032162
"7",2024,0.325630513029964
"8",1970,0.374071531466802
"9",1992,0.309628274870409
"10",2014,0.298908706738713
"11",1997,0.311356884583154
"12",1984,0.34376697352388
"13",1953,0.334659763230115
"14",1957,0.378725817330362
"15",1998,0.367972867393865
"16",1983,0.368327095445021
"17",1968,0.364855210527982
"18",1953,0.37554483822788
"19",1934,0.395760869669119
"20",1979,0.413121708190033
"21",1886,0.499043988919699
"22",1967,0.354824177555272
"23",2069,0.230988684978448
"24",1983,0.331210409402349
"25",1997,0.323311491370989
"26",1955,0.368075284552511
"27",2028,0.31341362216457
"28",1966,0.385643144808318
"29",2029,0.304899341913664
"30",2030,0.262110767407583
"31",2077,0.212851799032925
"32",2067,0.239289491773499
"33",2009,0.311355122551045
"34",1939,0.400628312821012
"35",2051,0.233158639185237
"36",2035,0.258886166977288
"37",1992,0.366057778400833
"38",2031,0.290856958786448
"39",1921,0.452659076987536
"40",1911,0.465446371295332
"41",2016,0.33615914750281
"42",2012,0.333294175943181
"43",1997,0.303226472188247
"44",2054,0.238285142247664
"45",2084,0.233390704272874
"46",2080,0.242517047741454
"47",2013,0.314660917435485
"48",2019,0.26584432960422
"49",1907,0.458045958565163
"50",1941,0.466437767671703
"51",1931,0.416158048023624
"52",1945,0.406911258175687
"53",1972,0.43021198058169
"54",1978,0.319303323303174
"55",2032,0.292436352344429
"56",1948,0.375171031456496
"57",1991,0.293935017043003
"58",1935,0.430835044687349
"59",1962,0.379627198586471
"60",1945,0.428083883217341
"61",1947,0.402768466356833
"62",1992,0.345446875585957
"63",2023,0.268920108588661
"64",2018,0.32227034819225
"65",2048,0.255143202090913
"66",2057,0.228154495593785
"67",2015,0.298952560508487
"68",2013,0.302960597118026
"69",2014,0.306059808953807
"70",2017,0.277377491999456
"71",2000,0.312131258951719
"72",2036,0.26033181820932
"73",1997,0.302120641297409
"74",1989,0.350998852665973
"75",1950,0.379243829997415
"76",1936,0.387442660551767
"77",1970,0.40673752960709
"78",1967,0.353191402443265
"79",1981,0.328632098001811
"80",1990,0.307969242080896
"81",2013,0.262990394929514
"82",2012,0.301792691391406
"83",2004,0.370013777662134
"84",2000,0.328258930989632
"85",2103,0.160792336658706
"86",2025,0.266776115460706
"87",2047,0.282975575211559
"88",1996,0.344935697594869
"89",2049,0.267105210543716
"90",1961,0.392288843544891
"91",1918,0.434002491985882
"92",1908,0.448153135666244
"93",1898,0.486184708833756
"94",1921,0.478840332305133
"95",1936,0.443173935752971
"96",1982,0.348125905059573
"97",2006,0.310052654860245
"98",1991,0.298103646375546
"99",1989,0.340502690824012
"100",1981,0.338042341742506
"101",2085,0.198950745966736
"102",2067,0.289115669640089
"103",1948,0.395136180388345
"104",1983,0.356686392595857
"105",2001,0.29079882084432
"106",2053,0.280806526427702
"107",2110,0.202989179021825
"108",2033,0.264916895538071
"109",2051,0.258247058736322
"110",1965,0.338669803617692
"111",2041,0.310016860263988
"112",1957,0.357323780961316
"113",1975,0.36626781991465
"114",2011,0.285647121065326
"115",1966,0.395843528351114
"116",1937,0.407863984728086
"117",1985,0.406874872835123
"118",1922,0.431321636418236
"119",1928,0.433449096086502
"120",2045,0.26404268984138
"121",1994,0.318453593220893
"122",1944,0.349883658366549
"123",2009,0.312251144651135
"124",2062,0.248990265077365
"125",2040,0.27967633828927
"126",2004,0.341763309316491
"127",2022,0.295302767964287
"128",2058,0.274188162400166
"129",2023,0.276745355757049
"130",2061,0.24390197767467
"131",2041,0.277139722888203
"132",2020,0.333719454156865
"133",1971,0.363023007422122
"134",2017,0.340889662282797
"135",2017,0.327109207135195
"136",2046,0.257333321225552
"137",2056,0.256107513712809
"138",2001,0.306433373331095
"139",1992,0.319223435031174
"140",1943,0.386252121724299
"141",1933,0.416465056740085
"142",1960,0.36064755104317
"143",2077,0.248129362403245
"144",1982,0.365380267264257
"145",1944,0.37849687572343
"146",1972,0.39904950275649
"147",1918,0.454568505149469
"148",2003,0.351826862228535
"149",1944,0.383488041481672
"150",1917,0.436605456950126
"151",1972,0.342364093968389
"152",1981,0.381608892973269
"153",1966,0.377067579914508
"154",1907,0.396692758177419
"155",1994,0.363329768435817
"156",1992,0.308307697474927
"157",1930,0.480598929148356
"158",1966,0.337287383164203
"159",1972,0.359387968926607
"160",1960,0.371097319646218
"161",2055,0.213635349440353
"162",2017,0.313487746045684
"163",1954,0.365812891063299
"164",1971,0.373860117819198
"165",1930,0.395584285946563
"166",1929,0.375686596822016
"167",1949,0.387615142909465
"168",1930,0.443000803189647
"169",1891,0.510819651511328
"170",2004,0.320432523747899
"171",1966,0.358886491480602
"172",2032,0.299769851265022
"173",1946,0.346151763756653
"174",2003,0.326126923780959
"175",1965,0.35078054950798
"176",2015,0.31819419231199
"177",2055,0.2557175879526
"178",1989,0.335834319091293
"179",2013,0.323110866279729
"180",2000,0.329883716669309
"181",1985,0.369304858453992
"182",1951,0.39967461148722
"183",1969,0.353305215787158
"184",1993,0.348602413185867
"185",1937,0.348875985519457
"186",1927,0.452433132721479
"187",2039,0.287179099696593
"188",1969,0.389980129206859
"189",1935,0.369345413850946
"190",1931,0.426556725159314
"191",1963,0.362735383437023
"192",1959,0.39418721949956
"193",2015,0.299245199997258
"194",1986,0.351521685153457
"195",1970,0.3482296528131
"196",1949,0.390046194102048
"197",1981,0.394075565178396
"198",1956,0.394049369425993
"199",2000,0.299073366736004
"200",1992,0.343987529378285
"201",1980,0.384460939469182
"202",1981,0.337889404179072
"203",2016,0.303013467563643
"204",1945,0.391003481995174
