"","Mthin","Nthin","wthin"
"1",819.47141387707,2581,51.6740259768969
"2",824.596914398791,2720,53.629507332668
"3",824.944533334574,2657,20.5048840571901
"4",827.026439303984,2645,29.8786984814673
"5",818.376858778051,2619,29.5389411581184
"6",815.342623874413,2699,101.392523824342
"7",827.606399938089,2729,40.643514584957
"8",823.99117602764,2643,56.1239832221191
"9",822.604752097322,2680,40.0064937318478
"10",817.252497389854,2671,34.775852981965
"11",820.720875872273,2676,36.1701534398105
"12",834.578537001667,2691,20.9014135750421
"13",813.508709915365,2697,80.8431835043709
"14",817.074327841177,2690,59.3581207831521
"15",816.079427256421,2743,42.411905252309
"16",823.796521174076,2710,31.3186120555423
"17",815.011936002583,2703,99.3699854002692
"18",820.764734100849,2775,69.2834983488491
"19",821.128807120669,2670,36.2191811401881
"20",826.340135276583,2686,28.2287081163976
"21",819.367978448518,2713,41.9899852633181
"22",817.38621451994,2790,105.099644870621
"23",824.825221727157,2626,23.8210423175823
"24",826.229716254086,2642,26.4684321299735
"25",832.209676626509,2681,24.7878167776032
"26",824.56805717536,2628,29.5034163607915
"27",816.158612706222,2621,39.2716221409966
"28",818.272607668281,2676,54.8957392673987
"29",826.493982340235,2620,35.2871382038015
"30",821.801089078326,2639,32.7847424370266
"31",823.99459788955,2773,36.0967483889341
"32",820.843792846191,2692,42.6589605307356
"33",821.598046521517,2658,42.3461166001977
"34",827.508659420385,2701,23.4607849015269
"35",827.102182277737,2647,32.8574121102951
"36",825.344532532985,2666,25.7085918970499
"37",817.805226840322,2716,50.8539674660629
"38",823.780400216231,2620,26.7798001052367
"39",827.570707250584,2677,47.8498514023056
"40",820.118457485436,2722,54.5651765982394
"41",823.459602716383,2582,36.977237859335
"42",827.406496255444,2590,21.3726067673874
"43",821.140996209959,2659,25.3957705898261
"44",825.279309475697,2581,37.4885044224451
"45",821.386891774926,2628,43.0451644688193
"46",824.696734396512,2666,37.7580013874526
"47",814.964856804969,2661,91.5845736294973
"48",822.328991863172,2683,32.3287302921461
"49",819.086511740643,2746,45.2101983729593
"50",818.052505780733,2625,60.3852291528285
"51",819.883277090537,2622,32.6401205183364
"52",816.057766197296,2741,52.527499297558
"53",826.934825741859,2563,34.3206739522057
"54",831.123801096868,2643,28.6175010562546
"55",829.106186019466,2671,38.9665257129126
"56",828.392302187504,2711,37.1314362292301
"57",823.20849509014,2746,36.4400099404724
"58",823.838718055044,2690,28.1709945347628
"59",816.701481539072,2697,46.0018704467602
"60",829.308084237213,2644,27.3411369389633
"61",821.098726179916,2620,45.9037448430367
"62",824.390302080544,2594,27.3061687064563
"63",820.289881027693,2618,47.1211171170621
"64",829.05086541801,2650,20.458569060691
"65",821.555395884168,2710,28.949194911244
"66",822.218529887858,2682,42.5586129039603
"67",819.176697927227,2773,61.4231883819471
"68",826.374613191575,2623,32.4671434815911
"69",821.459942173364,2581,23.878662745442
"70",814.259991048654,2652,59.6795653581086
"71",814.117423995402,2752,75.3423313904092
"72",812.705475119327,2693,84.4530521126979
"73",814.753061879688,2655,81.76410936401
"74",822.621960159586,2704,35.0070905321657
